state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,14-Mar,28,28.34920635,4-Apr,49,13.1875,12-Apr,57,-44.16666667,12-Apr,57,-44.16666667,9-May,84,24.76470588,29,27,-72.51587302,-3.58450047
Alaska,12-Mar,26,18.83333333,24-Mar,38,-12.16666667,29-Mar,43,-30.16666667,11-Apr,56,-5.6,16-May,91,18.2,17,48,-49,-0.63333333
Arizona,16-Mar,30,24.8125,17-Mar,31,23.75,12-Apr,57,-34.06666667,12-Apr,57,-34.06666667,24-May,99,6.571428571,27,42,-58.87916667,-18.24107143
Arkansas,12-Mar,26,32.50943396,21-Mar,35,6.068965517,12-Apr,57,-30.05555556,12-Apr,57,-30.05555556,10-May,85,24.35294118,31,28,-62.56498952,-8.15649278
California,16-Mar,30,22.47368421,16-Mar,30,22.47368421,5-Apr,50,-24.50909091,11-Apr,56,-11.44444444,9-May,84,9.840909091,20,34,-46.98277512,-12.63277512
Colorado,12-Mar,26,24.09756098,18-Mar,32,9.475,12-Apr,57,-48.23809524,10-May,85,3.8125,22-May,97,3.15,31,40,-72.33565622,-20.94756098
Connecticut,13-Mar,27,34.66666667,15-Mar,29,5.888888889,12-Apr,57,-52,13-Apr,58,-41.22222222,5-May,80,-2.555555556,30,23,-86.66666667,-37.22222223
Delaware,13-Mar,27,19,23-Mar,37,-8.75,12-Apr,57,-40.75,13-Apr,58,-33.5,2-Jul,138,23.25,30,81,-59.75,4.25
District of Columbia,13-Mar,27,14,4-Mar,18,5,12-Apr,57,-41,26-Apr,71,-39,2-May,77,-18,30,20,-55,-32
Florida,14-Mar,28,19.51515152,31-Mar,45,-13.90769231,12-Apr,57,-47.96078431,12-Apr,57,-47.96078431,9-May,84,3.44,29,27,-67.47593583,-16.07515152
Georgia,14-Mar,28,20.84444444,3-Apr,48,6.925925926,5-Apr,50,-16.86567164,11-Apr,56,-3.018181818,9-May,84,17.30909091,22,34,-37.71011608,-3.53535353
Hawaii,13-Mar,27,8,20-Mar,34,-6.4,12-Apr,57,-43.8,10-May,85,-23,5-Jun,111,-19.6,30,54,-51.8,-27.6
