state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,7-Mar,21,75.81818182,14-Mar,28,61.18181818,7-Apr,52,-13.64285714,11-Apr,56,21.46153846,17-Apr,62,30.35714286,31,10,-89.46103896,-45.46103896
Alaska,23-Feb,8,23.5,23-Feb,8,23.5,3-Mar,17,-5,15-Mar,29,60,22-Mar,36,86.5,9,19,-28.5,63
Arizona,16-Feb,1,32.92857143,21-Feb,6,13.57142857,11-Apr,56,-37.42857143,9-May,84,5.071428571,24-May,99,70.30769231,55,43,-70.35714286,37.37912088
Arkansas,7-Mar,21,104.4285714,9-Mar,23,-5.666666667,14-Mar,28,-33.41666667,24-Mar,38,58.66666667,26-Mar,40,146.75,7,12,-137.8452381,42.3214286
California,17-Feb,2,60.56097561,17-Feb,2,60.56097561,5-Apr,50,-58.34042553,5-Apr,50,-58.34042553,5-May,80,-4.209302326,48,30,-118.9014011,-64.77027794
Colorado,7-Mar,21,43.25,18-Mar,32,33.27777778,12-Apr,57,-61.29166667,2-May,77,-5.454545455,6-May,81,36.0625,36,24,-104.5416667,-7.1875
Connecticut,9-Mar,23,94.14285714,13-Mar,27,5.777777778,29-Mar,43,-49.11111111,29-Mar,43,-49.11111111,4-Apr,49,67.16666667,20,6,-143.2539683,-26.97619047
Delaware,20-Mar,34,89.66666667,25-Mar,39,-44.75,24-Apr,69,-39,19-Jun,125,382,26-Jun,132,501,35,63,-128.6666667,411.3333333
District of Columbia,16-Feb,1,37,22-Mar,36,-25,30-Apr,75,-77,25-Apr,70,-56,10-May,85,-34,74,10,-114,-71
Florida,11-Mar,25,22.26086957,15-Mar,29,26.42553191,12-Apr,57,-51.34,30-Apr,75,-35.24489796,3-May,78,-8.645833333,32,21,-73.60086957,-30.9067029
Georgia,7-Mar,21,74.88461538,11-Apr,56,4.852941176,19-Apr,64,-52.3902439,23-Apr,68,-42.59459459,15-May,90,38.6,43,26,-127.2748593,-36.28461538
Hawaii,17-Feb,2,15.4,15-Mar,29,-7,26-Mar,40,-72.4,17-May,92,-40.2,31-May,106,-35.6,38,66,-87.8,-51
Idaho,19-Mar,33,96.75,22-Mar,36,115.5714286,28-Mar,42,-6.636363636,6-Apr,51,42.71428571,8-Apr,53,114.4,9,11,-103.3863636,17.65
Illinois,8-Mar,22,169.3076923,8-Mar,22,169.3076923,22-Mar,36,-40.04761905,25-Mar,39,40.625,7-Apr,52,50.57142857,14,16,-209.3553114,-118.7362637
Indiana,8-Mar,22,158.2,8-Mar,22,158.2,17-Apr,62,-22.0625,30-Apr,75,2.357142857,2-May,77,130,40,15,-180.2625,-28.2
Iowa,8-Mar,22,188,8-Mar,22,188,19-Mar,33,-15.44444444,29-Mar,43,12.83333333,7-Apr,52,147.5,11,19,-203.4444444,-40.5
Kansas,1-Mar,15,137.4,8-Mar,22,84,14-Mar,28,-21.25,19-Mar,33,93,7-Apr,52,116.2,13,24,-158.65,-21.2
Kentucky,8-Mar,22,130.5,8-Mar,22,130.5,12-Apr,57,-26.27272727,17-Apr,62,-7.444444444,22-Apr,67,56.8,35,10,-156.7727273,-73.7
Louisiana,8-Mar,22,77.875,8-Mar,22,77.875,12-Apr,57,-50.72222222,12-Apr,57,-50.72222222,6-May,81,11.44444444,35,24,-128.5972222,-66.43055556
Maine,9-Mar,23,63.75,28-Mar,42,38.71428571,2-Apr,47,-45.28571429,3-Apr,48,-41.625,6-Apr,51,35.6,24,4,-109.0357143,-28.15
Maryland,8-Mar,22,99.8,25-Mar,39,-40.11111111,28-Mar,42,-28.875,30-Mar,44,31.28571429,8-Apr,53,39.85714286,20,11,-128.675,-59.94285714
Massachusetts,9-Mar,23,112.6,18-Mar,32,68.5,29-Mar,43,-48.92307692,3-Apr,48,-42,6-Apr,51,73.6,20,8,-161.5230769,-39
Michigan,8-Mar,22,132.2,8-Mar,22,132.2,13-Apr,58,-22.45833333,28-Apr,73,86.05,2-May,77,136.9333333,36,19,-154.6583333,4.7333333
Minnesota,8-Mar,22,75.15384615,8-Mar,22,75.15384615,19-Mar,33,-29.35714286,29-Mar,43,-28.44444444,7-Apr,52,110.1111111,11,19,-104.510989,34.95726495
Mississippi,8-Mar,22,52.8,8-Mar,22,52.8,12-Apr,57,-54.33333333,7-May,82,29.8,31-May,106,53.5,35,49,-107.1333333,0.7
Missouri,8-Mar,22,127.1538462,8-Mar,22,127.1538462,12-Apr,57,-27.88235294,29-Apr,74,-2.666666667,1-May,76,85.1,35,19,-155.0361991,-42.0538462
Montana,9-Apr,54,74.4,9-Apr,54,74.4,11-Apr,56,-54.125,21-Apr,66,88.2,26-Apr,71,90,2,15,-128.525,15.6
Nebraska,Feb-29,14,115.25,8-Mar,22,104.5,14-Mar,28,-29.4,28-Mar,42,-9,7-Apr,52,130,14,24,-144.65,14.75
Nevada,16-Feb,1,39.6,17-Feb,2,37.33333333,5-Apr,50,-48.66666667,16-Apr,61,-16.6,7-May,82,-0.6,49,32,-88.26666667,-40.2
New Hampshire,9-Mar,23,109.8,18-Mar,32,62.6,29-Mar,43,-59.7,3-Apr,48,-39.88888889,6-Apr,51,71.2,20,8,-169.5,-38.6
New Jersey,9-Mar,23,116.2941176,23-Mar,37,-52.71428571,24-Apr,69,-46.71428571,1-May,76,-12.26315789,13-Jun,119,222.8333333,46,50,-163.0084033,106.5392157
New Mexico,9-Mar,23,46.9,15-Mar,29,6.153846154,12-Apr,57,-45.8,23-May,98,12,25-May,100,39.11111111,34,43,-92.7,-7.78888889
New York,9-Mar,23,92.85,9-Mar,23,92.85,3-Apr,48,-26.375,3-Apr,48,-26.375,4-Apr,49,57.54545455,25,1,-119.225,-35.30454545
North Carolina,9-Mar,23,57.77272727,14-Mar,28,49.12903226,23-Apr,68,-27.05405405,23-Apr,68,-27.05405405,15-May,90,61,45,22,-84.82678132,3.22727273
North Dakota,22-Feb,7,25.33333333,9-Apr,54,-25.5,13-Apr,58,-32.25,22-Apr,67,13.33333333,26-Apr,71,23.5,51,13,-57.58333333,-1.83333333
Ohio,16-Feb,1,25.95454545,23-Feb,8,80.84210526,27-Feb,12,-6.416666667,1-Mar,15,82.78947368,8-Mar,22,189.6428571,11,10,-32.37121212,163.6883117
Oklahoma,1-Mar,15,74.83333333,1-Mar,15,74.83333333,13-Apr,58,-41.36363636,21-Apr,66,27.57142857,6-May,81,45.6,43,23,-116.1969697,-29.23333333
Oregon,19-Mar,33,74.22222222,22-Mar,36,66.13636364,28-Mar,42,-23,4-Apr,49,-21.04347826,14-Apr,59,37.26315789,9,17,-97.22222222,-36.95906433
Pennsylvania,8-Mar,22,138.0952381,9-Mar,23,113.55,28-Mar,42,-46.39393939,28-Mar,42,-46.39393939,5-Apr,50,59.08695652,20,8,-184.4891775,-79.00828158
Rhode Island,21-Mar,35,119,28-Mar,42,73.33333333,18-Apr,63,-38.8,25-Apr,70,111.3333333,16-May,91,206.5,28,28,-157.8,87.5
South Carolina,13-Mar,27,56.21428571,21-Mar,35,42.4375,12-Apr,57,-52.57142857,23-Apr,68,-43.6,15-May,90,55,30,33,-108.7857143,-1.21428571
South Dakota,7-Apr,52,120,7-Apr,52,120,12-Apr,57,-47,20-Apr,65,59,26-Apr,71,185,5,14,-167,65
Tennessee,8-Mar,22,86.53333333,24-Mar,38,-32.1875,12-Apr,57,-52.42857143,8-May,83,-11.36842105,31-May,106,92,35,49,-138.9619048,5.46666667
Texas,11-Mar,25,58.62857143,12-Mar,26,51.76315789,4-Apr,49,-58.48571429,16-May,91,-19.84375,18-Jun,124,43.46341463,24,75,-117.1142857,-15.1651568
