state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,7-Mar,21,-2.636363636,27-Mar,41,14.46875,10-Apr,55,19.4,8-May,83,14.65625,16-May,91,3.761904762,34,36,22.03636364,6.398268398
Alaska,28-Feb,13,-1.666666667,22-Mar,36,6.5,2-Apr,47,19.4,24-May,99,0.666666667,14-Jun,120,-3,34,73,21.06666667,-1.333333333
Arizona,Feb-29,14,-1.75,17-Mar,31,5.142857143,27-Mar,41,15.92307692,27-Mar,41,15.92307692,28-Apr,73,5.928571429,27,32,17.67307692,7.678571429
Arkansas,Feb-29,14,-3.214285714,29-Mar,43,7.333333333,10-Apr,55,15.78947368,8-May,83,11.5,17-May,92,5.333333333,41,37,19.00375939,8.547619047
California,3-Mar,17,-1.479166667,22-Mar,36,12.45714286,10-Apr,55,22.36363636,24-May,99,6.358974359,21-Jun,127,3.05,38,72,23.84280303,4.529166667
Colorado,Feb-29,14,-1.5625,10-Apr,55,21.47058824,16-Apr,61,25,10-May,85,5.583333333,17-May,92,5.75,47,31,26.5625,7.3125
Connecticut,Feb-29,14,-1.555555556,3-Apr,48,25.77777778,10-Apr,55,27.33333333,24-Apr,69,25.33333333,3-May,78,7.888888889,41,23,28.88888889,9.444444445
Delaware,22-Feb,7,-1,10-Apr,55,23.75,13-Apr,58,22,24-May,99,6.75,21-Jun,127,1.75,51,69,23,2.75
District of Columbia,1-Mar,15,-2,22-Mar,36,12,10-Apr,55,31,17-Feb,2,11,21-Jun,127,6,40,72,33,8
Florida,Feb-29,14,-1.428571429,3-Apr,48,19.375,10-Apr,55,20.4893617,24-Apr,69,19.5625,17-May,92,6.904761905,41,37,21.91793313,8.333333334
Georgia,7-Mar,21,-2.390243902,27-Mar,41,16.53846154,10-Apr,55,21.26530612,8-May,83,14.78846154,10-May,85,4.939393939,34,30,23.65555002,7.329637841
Hawaii,16-Feb,1,-0.75,16-Feb,1,-0.75,10-Apr,55,25.5,24-May,99,9,21-Jun,127,5.75,54,72,26.25,6.5
Idaho,2-Mar,16,-2,27-Mar,41,17.2,2-Apr,47,17.63636364,28-Apr,73,3.642857143,10-May,85,0,31,38,19.63636364,2
Illinois,Feb-29,14,-3.333333333,10-Apr,55,21.17142857,17-Apr,62,21.16666667,24-May,99,3.818181818,14-Jun,120,1.272727273,48,58,24.5,4.606060606
Indiana,Feb-29,14,-2.692307692,10-Apr,55,23.17647059,17-Apr,62,23.1,24-May,99,1.19047619,13-Jun,119,0.230769231,48,57,25.79230769,2.923076923
Iowa,Feb-29,14,-2.909090909,5-Apr,50,8.75,16-Apr,61,18.45454545,17-Apr,62,18.22727273,26-Apr,71,6.75,47,10,21.36363636,9.659090909
Kansas,6-Mar,20,-3.08,10-Apr,55,18.23529412,16-Apr,61,19.26315789,24-Apr,69,18.05263158,10-May,85,4,41,24,22.34315789,7.08
Kentucky,1-Mar,15,-2.538461538,10-Apr,55,21.8,17-Apr,62,20.68181818,24-May,99,2.909090909,13-Jun,119,0.615384615,47,57,23.22027972,3.153846153
Louisiana,Feb-29,14,-2.333333333,29-Mar,43,11.14285714,10-Apr,55,23.27777778,10-Apr,55,23.27777778,17-May,92,7.333333333,41,37,25.61111111,9.666666666
Maine,23-Feb,8,-2.166666667,27-Mar,41,18.8,3-Apr,48,22.5,1-May,76,18.9,17-May,92,3.166666667,40,44,24.66666667,5.333333334
Maryland,Feb-29,14,-1.294117647,3-Apr,48,24.89473684,10-Apr,55,26.94444444,24-May,99,7.666666667,4-Jul,140,4.3125,41,85,28.23856209,5.606617647
Massachusetts,Feb-29,14,-1.166666667,27-Mar,41,24,3-Apr,48,27.84615385,3-Apr,48,27.84615385,12-Apr,57,13.72727273,34,9,29.01282052,14.8939394
Michigan,Feb-29,14,-2.333333333,10-Apr,55,28.72972973,17-Apr,62,27.53846154,24-May,99,1.64,14-Jun,120,-0.740740741,48,58,29.87179487,1.592592592
Minnesota,23-Feb,8,-1.769230769,28-Mar,42,19.45454545,3-Apr,48,25.5862069,24-May,99,4.181818182,21-Jun,127,-1,40,79,27.35543767,0.769230769
Mississippi,Feb-29,14,-3.444444444,27-Mar,41,15.05882353,10-Apr,55,20.46153846,10-Apr,55,20.46153846,9-May,84,6.166666667,41,29,23.9059829,9.611111111
Missouri,Feb-29,14,-3.476190476,5-Apr,50,10.38461538,10-Apr,55,18.03225806,10-May,85,3.5,17-May,92,5.4375,41,37,21.50844854,8.913690476
