state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,3-Mar,17,26.51785714,3-Mar,17,26.51785714,5-Apr,50,-47.29824561,12-Apr,57,-61.35294118,20-May,95,3.894736842,33,45,-73.81610275,-22.6231203
Alaska,7-Mar,21,16.25,18-Mar,32,-14,29-Mar,43,-50.125,24-May,99,14.16666667,14-Jun,120,27.5,22,77,-66.375,11.25
Arizona,1-Mar,15,14.06666667,17-Mar,31,-5.6875,4-Apr,49,-43,12-Apr,57,-57.53846154,24-May,99,-8.133333333,34,50,-57.06666667,-22.2
Arkansas,3-Mar,17,25.70491803,8-Mar,22,18.84482759,4-Apr,49,-34.87096774,12-Apr,57,-52.63636364,20-May,95,3.4,32,46,-60.57588577,-22.30491803
California,3-Mar,17,12.05357143,12-Apr,57,-59.29166667,18-Apr,63,-54.14285714,26-Apr,71,-50.10416667,2-Jul,138,-8.905660377,46,75,-66.19642857,-20.95923181
Colorado,3-Mar,17,11.8372093,16-Mar,30,-3.534883721,12-Apr,57,-70.27272727,12-Apr,57,-70.27272727,2-Jul,138,16.09677419,40,81,-82.10993657,4.25956489
Connecticut,22-Feb,7,10,16-Mar,30,-4.444444444,29-Mar,43,-55,29-Mar,43,-55,6-Apr,51,-37.22222222,36,8,-65,-47.22222222
Delaware,1-Mar,15,12.75,16-Mar,30,1.75,12-Apr,57,-64,13-Apr,58,-49,2-Jul,138,19,42,81,-76.75,6.25
District of Columbia,4-Mar,18,14,13-Mar,27,-12,12-Apr,57,-72,26-Mar,40,-58,2-Jul,138,-42,39,81,-86,-56
Florida,1-Mar,15,14.31147541,2-Apr,47,-31.828125,5-Apr,50,-52.52380952,12-Apr,57,-64,1-Jun,107,-12.87272727,35,57,-66.83528493,-27.18420268
Georgia,12-Mar,26,14.25203252,3-Apr,48,-33.4453125,5-Apr,50,-47.61157025,12-Apr,57,-61.07936508,21-May,96,-4.0875,24,46,-61.86360277,-18.33953252
Hawaii,17-Feb,2,3.6,20-Mar,34,-32.2,12-Apr,57,-71.6,12-Apr,57,-71.6,2-Jul,138,-33.8,55,81,-75.2,-37.4
Idaho,1-Mar,15,22.65217391,25-Mar,39,-24.36363636,28-Mar,42,-42.67647059,12-Apr,57,-52.7,3-Jun,109,9.055555556,27,67,-65.3286445,-13.59661835
Illinois,1-Mar,15,26.6375,16-Mar,30,-0.50617284,22-Mar,36,-58.01204819,22-Mar,36,-58.01204819,30-Mar,44,-32.02409639,21,8,-84.64954819,-58.66159639
Indiana,1-Mar,15,22.96385542,6-Mar,20,5.709302326,25-Mar,39,-43.55813953,3-Apr,48,-32.59090909,7-Apr,52,-33.29787234,24,13,-66.52199495,-56.26172776
Iowa,1-Mar,15,20.1,8-Mar,22,19.05084746,22-Mar,36,-44.16923077,28-Mar,42,-47.64935065,10-Apr,55,-33.30434783,21,19,-64.26923077,-53.40434783
Kansas,1-Mar,15,27.3902439,1-Mar,15,27.3902439,12-Apr,57,-59.90909091,12-Apr,57,-59.90909091,20-May,95,-1.16,42,38,-87.29933481,-28.5502439
Kentucky,1-Mar,15,26.04,6-Mar,20,7.833333333,12-Apr,57,-60.75,12-Apr,57,-60.75,16-Jun,122,2.195121951,42,65,-86.79,-23.84487805
Louisiana,1-Mar,15,21.75471698,16-Mar,30,3.181818182,10-Apr,55,-42.42424242,12-Apr,57,-61.69230769,19-May,94,-5.666666667,40,39,-64.1789594,-27.42138365
Maine,1-Mar,15,23.17647059,1-Apr,46,-29.23529412,4-Apr,49,-53,11-Apr,56,-40.38461538,2-Jul,138,24,34,89,-76.17647059,0.82352941
Maryland,12-Mar,26,11.48,30-Mar,44,-22.8,4-Apr,49,-47.44,11-Apr,56,-41.13636364,2-Jul,138,15.5,23,89,-58.92,4.02
Massachusetts,3-Mar,17,11.66666667,16-Mar,30,-8.333333333,29-Mar,43,-58.38461538,29-Mar,43,-58.38461538,6-Apr,51,-41.46153846,26,8,-70.05128205,-53.12820513
Michigan,1-Mar,15,21.95774648,23-Mar,37,-27,12-Apr,57,-72.42857143,12-Apr,57,-72.42857143,3-May,78,-20.51282051,42,21,-94.38631791,-42.47056699
Minnesota,1-Mar,15,17.5,17-Mar,31,-12.50684932,28-Mar,42,-62.80882353,29-Mar,43,-53.90322581,10-Apr,55,-36.51282051,27,13,-80.30882353,-54.01282051
Mississippi,1-Mar,15,26.69090909,3-Mar,17,26.41071429,4-Apr,49,-44.76190476,12-Apr,57,-65.42857143,20-May,95,1.518518519,34,46,-71.45281385,-25.17239057
Missouri,1-Mar,15,25.83333333,8-Mar,22,24.38461538,6-Apr,51,-43.44117647,12-Apr,57,-58.03030303,3-Jun,109,12.15384615,36,58,-69.2745098,-13.67948718
Montana,1-Mar,15,19.88235294,13-Mar,27,-4.178571429,28-Mar,42,-58.91666667,5-Apr,50,-48.9,9-Apr,54,-34.875,27,12,-78.79901961,-54.75735294
Nebraska,1-Mar,15,15.53571429,13-Mar,27,3.323529412,12-Apr,57,-69,12-Apr,57,-69,2-Jul,138,14.375,42,81,-84.53571429,-1.16071429
Nevada,3-Mar,17,11.72727273,17-Mar,31,-7.545454545,4-Apr,49,-44.72727273,12-Apr,57,-51.44444444,16-Jun,122,2.8,32,73,-56.45454546,-8.92727273
New Hampshire,1-Mar,15,12.54545455,16-Mar,30,1,29-Mar,43,-56.27272727,11-Apr,56,-40.18181818,5-May,80,-17,28,37,-68.81818182,-29.54545455
New Jersey,7-Mar,21,11.36363636,16-Mar,30,-5.818181818,12-Apr,57,-74.63636364,13-Apr,58,-67.40909091,2-Jul,138,0.090909091,36,81,-86,-11.27272727
New Mexico,1-Mar,15,19.48148148,12-Mar,26,15.40740741,12-Apr,57,-59.58823529,12-Apr,57,-59.58823529,16-Jun,122,-4.80952381,42,65,-79.06971677,-24.29100529
New York,1-Mar,15,19.14516129,16-Mar,30,-0.048387097,12-Apr,57,-71.32653061,12-Apr,57,-71.32653061,3-May,78,-30.72916667,42,21,-90.4716919,-49.87432796
North Carolina,3-Mar,17,19.61052632,16-Mar,30,2.20212766,5-Apr,50,-37.51612903,12-Apr,57,-57.19117647,9-May,84,-10.98529412,33,34,-57.12665535,-30.59582044
North Dakota,Feb-29,14,16.73333333,19-Mar,33,-25.75,2-Apr,47,-55.25,2-Apr,47,-55.25,10-Apr,55,-38.125,33,8,-71.98333333,-54.85833333
Ohio,1-Mar,15,20.87951807,6-Mar,20,3.829545455,24-Mar,38,-48.64367816,24-Mar,38,-48.64367816,8-Apr,53,-31.546875,23,15,-69.52319623,-52.42639307
Oklahoma,1-Mar,15,24.05454545,12-Mar,26,20.74576271,4-Apr,49,-38.33333333,14-Apr,59,-28.93333333,5-May,80,3.178571429,34,31,-62.38787878,-20.87597402
Oregon,1-Mar,15,23.86206897,16-Mar,30,1.5,28-Mar,42,-51.1875,12-Apr,57,-51.73913043,2-Jul,138,17.65517241,27,96,-75.04956897,-6.20689656
Pennsylvania,8-Mar,22,20.26984127,16-Mar,30,4.296875,12-Apr,57,-69.89795918,12-Apr,57,-69.89795918,2-Jul,138,17.98305085,35,81,-90.16780045,-2.28679042
Rhode Island,1-Mar,15,12.33333333,16-Mar,30,-6.333333333,29-Mar,43,-56.66666667,23-May,98,-28.33333333,2-Jul,138,22.33333333,28,95,-69,10
