state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,8-Mar,22,19.85714286,8-Mar,22,19.85714286,5-Apr,50,-40.95833333,12-Apr,57,-50.5,30-May,105,7.3,28,55,-60.81547619,-12.55714286
Alaska,1-Mar,15,10.25,26-Mar,40,-46.5,5-Apr,50,-58.25,25-Mar,39,-46.75,2-Jul,138,-1.25,35,88,-68.5,-11.5
Arizona,6-Mar,20,11.23076923,17-Mar,31,4.923076923,12-Apr,57,-44.46153846,12-Apr,57,-44.46153846,22-May,97,-9.538461538,37,40,-55.69230769,-20.76923077
Arkansas,8-Mar,22,12.75,21-Mar,35,-6.529411765,12-Apr,57,-38.89473684,18-Apr,63,-18,20-May,95,-1.526315789,35,38,-51.64473684,-14.27631579
California,28-Feb,13,6.833333333,13-Mar,27,-11.22727273,5-Apr,50,-53.55263158,24-May,99,-21.51282051,14-Jun,120,-11,37,70,-60.38596491,-17.83333333
Colorado,3-Mar,17,9.75,18-Mar,32,-19.36363636,12-Apr,57,-53.66666667,15-Apr,60,-39.19047619,3-May,78,-24,40,21,-63.41666667,-33.75
Connecticut,23-Feb,8,17.33333333,23-Feb,8,17.33333333,13-Apr,58,-60,24-May,99,-25,27-Jun,133,-5.428571429,50,75,-77.33333333,-22.76190476
Delaware,15-Feb,0,20,6-Mar,20,-4.75,28-Mar,42,-53,29-Mar,43,-52.33333333,6-Apr,51,-38,42,9,-73,-58
District of Columbia,23-Feb,8,7,9-Mar,23,0,13-Apr,58,-79,10-May,85,-67,6-Jun,112,-36,50,54,-86,-43
Florida,1-Mar,15,13.17073171,2-Apr,47,-38.30952381,5-Apr,50,-59.69047619,25-May,100,-38.87804878,30-May,105,-19.02439024,35,55,-72.8612079,-32.19512195
Georgia,7-Mar,21,16.43243243,2-Apr,47,-21.66666667,5-Apr,50,-42.15384615,12-Apr,57,-49.15384615,22-May,97,-4.195121951,29,47,-58.58627858,-20.62755438
Hawaii,18-Feb,3,12,25-Mar,39,-61.2,12-Apr,57,-83.2,2-May,77,-77.2,1-Jun,107,-66.4,54,50,-95.2,-78.4
Idaho,1-Mar,15,18.88888889,1-Mar,15,18.88888889,11-Apr,56,-30.9,24-May,99,25.77777778,31-May,106,39.75,41,50,-49.78888889,20.86111111
Illinois,1-Mar,15,13.72413793,8-Mar,22,15.89655172,12-Apr,57,-41.5483871,24-May,99,-15.5483871,13-Jun,119,6.24137931,42,62,-55.27252503,-7.48275862
Indiana,8-Mar,22,21.19354839,8-Mar,22,21.19354839,12-Apr,57,-36.48484848,24-May,99,-1.78125,28-Jun,134,24.4516129,35,77,-57.67839687,3.25806451
Iowa,7-Mar,21,15.28571429,8-Mar,22,14.30769231,12-Apr,57,-41.76470588,12-Apr,57,-41.76470588,22-May,97,4.529411765,36,40,-57.05042017,-10.75630253
Kansas,7-Mar,21,18.2,8-Mar,22,17.28571429,12-Apr,57,-36.22222222,12-Apr,57,-36.22222222,6-May,81,-3.388888889,36,24,-54.42222222,-21.58888889
Kentucky,8-Mar,22,15.6,8-Mar,22,15.6,12-Apr,57,-40.65217391,19-Jun,125,-2.625,27-Jun,133,13.45,35,76,-56.25217391,-2.15
Louisiana,22-Feb,7,15.61538462,23-Feb,8,14.58333333,10-Apr,55,-46.10344828,12-Apr,57,-53.15384615,4-Jun,110,-5.423076923,48,55,-61.7188329,-21.03846154
Maine,16-Feb,1,23.75,8-Mar,22,42.75,4-Apr,49,-62,27-Mar,41,-49.4,5-May,80,-32.4,48,31,-85.75,-56.15
Maryland,23-Feb,8,11,11-Apr,56,-43.26666667,13-Apr,58,-55.8,29-May,104,-30.28571429,27-Jun,133,-3.692307692,50,75,-66.8,-14.69230769
Massachusetts,1-Mar,15,10.18181818,15-Mar,29,-14.18181818,29-Mar,43,-64.66666667,29-Mar,43,-64.66666667,4-Apr,49,-50.84615385,28,6,-74.84848485,-61.02797203
Michigan,Feb-29,14,15.95,8-Mar,22,22,12-Apr,57,-54.21052632,24-May,99,-18.05555556,27-Jun,133,10.06666667,43,76,-70.16052632,-5.88333333
Minnesota,22-Feb,7,3.166666667,15-Mar,29,-8.090909091,28-Mar,42,-50.61538462,29-Mar,43,-48.76923077,7-Apr,52,-37.15384615,35,10,-53.78205129,-40.32051282
Mississippi,7-Mar,21,18.41176471,8-Mar,22,16.8125,5-Apr,50,-37.66666667,12-Apr,57,-50.5,22-May,97,-2.25,29,47,-56.07843138,-20.66176471
Missouri,8-Mar,22,16.46153846,8-Mar,22,16.46153846,12-Apr,57,-40.12121212,12-Apr,57,-40.12121212,22-May,97,9.15625,35,40,-56.58275058,-7.30528846
Montana,1-Mar,15,12,1-Mar,15,12,2-Apr,47,-39.44444444,3-Apr,48,-38.33333333,7-Apr,52,-32.22222222,32,5,-51.44444444,-44.22222222
Nebraska,7-Mar,21,19.66666667,18-Mar,32,4.615384615,12-Apr,57,-35.46153846,16-Apr,61,-25,2-Jul,138,32.66666667,36,81,-55.12820513,13
Nevada,8-Mar,22,11.16666667,21-Mar,35,-11,5-Apr,50,-37.44444444,8-May,83,-16.75,9-Jun,115,8.25,28,65,-48.61111111,-2.91666667
New Hampshire,23-Feb,8,27,1-Mar,15,24.33333333,12-Apr,57,-66,25-May,100,-42.8,2-Jul,138,6.4,49,81,-93,-20.6
New Jersey,1-Mar,15,8.428571429,21-Mar,35,-36.61904762,13-Apr,58,-63.61904762,25-Apr,70,-42.94736842,16-May,91,-34.42105263,43,33,-72.04761905,-42.84962406
New Mexico,7-Mar,21,14.44444444,30-Mar,44,-27.52380952,12-Apr,57,-42.2,13-Apr,58,-35.65,22-May,97,-9.315789474,36,40,-56.64444444,-23.76023391
New York,23-Feb,8,11.22580645,21-Mar,35,-35.35294118,12-Apr,57,-58.34375,25-Apr,70,-41.09375,21-May,96,-28.51515152,49,39,-69.56955645,-39.74095797
North Carolina,8-Mar,22,13.04166667,5-Apr,50,-40.5862069,12-Apr,57,-48.14285714,25-May,100,-25.67741935,4-Jun,110,-5.0625,35,53,-61.18452381,-18.10416667
North Dakota,11-Mar,25,10.71428571,2-Mar,16,3,12-Apr,57,-47,20-Apr,65,-34.85714286,22-May,97,-11.14285714,32,40,-57.71428571,-21.85714285
Ohio,8-Mar,22,18.425,8-Mar,22,18.425,12-Apr,57,-36.97619048,25-May,100,-21.02325581,28-Jun,134,18.85294118,35,77,-55.40119048,0.42794118
Oklahoma,8-Mar,22,17.66666667,8-Mar,22,17.66666667,12-Apr,57,-35,12-Apr,57,-35,2-May,77,-1.25,35,20,-52.66666667,-18.91666667
Oregon,27-Feb,12,9.6,1-Mar,15,10.29411765,12-Apr,57,-35.61111111,14-Jun,120,8.5625,2-Jul,138,15,45,81,-45.21111111,5.4
Pennsylvania,1-Mar,15,8.25,16-Mar,30,-11.61111111,10-Apr,55,-50.21621622,25-Apr,70,-29.38235294,16-May,91,-17.32352941,40,36,-58.46621622,-25.57352941
Rhode Island,28-Feb,13,7.5,20-Mar,34,-40.6,13-Apr,58,-73.4,13-Apr,58,-73.4,22-May,97,-32.2,45,39,-80.9,-39.7
South Carolina,1-Mar,15,22.86956522,15-Mar,29,18.08695652,12-Apr,57,-50.69230769,12-Apr,57,-50.69230769,6-Jun,112,17.0952381,42,55,-73.56187291,-5.77432712
South Dakota,Feb-29,14,13.5,18-Mar,32,-3.6,12-Apr,57,-57.25,12-Apr,57,-57.25,27-Jun,133,38.33333333,43,76,-70.75,24.83333333
Tennessee,8-Mar,22,19.5862069,8-Mar,22,19.5862069,5-Apr,50,-35.875,12-Apr,57,-48.125,27-Jun,133,16.14285714,28,83,-55.4612069,-3.44334976
Texas,7-Mar,21,18.70114943,3-Apr,48,-28.91089109,5-Apr,50,-39.80434783,12-Apr,57,-41.65263158,14-Jun,120,0.395348837,29,70,-58.50549726,-18.30580059
Utah,7-Mar,21,12.14285714,15-Mar,29,8.666666667,12-Apr,57,-32.07692308,17-Feb,2,-0.166666667,30-May,105,2.384615385,36,48,-44.21978022,-9.758241755
Vermont,17-Feb,2,21.33333333,11-Mar,25,0.666666667,12-Apr,57,-73.25,19-Apr,64,-66,18-May,93,-31.6,55,36,-94.58333333,-52.93333333
Virginia,8-Mar,22,13.7027027,8-Mar,22,13.7027027,12-Apr,57,-43.35714286,23-May,98,-10.63414634,6-Jun,112,-6.487179487,35,55,-57.05984556,-20.18988219
Washington,22-Feb,7,14.47619048,1-Mar,15,16.89473684,28-Mar,42,-43.84,8-May,83,-18.81818182,10-May,85,-2.263157895,35,43,-58.31619048,-16.73934838
West Virginia,8-Mar,22,20.66666667,8-Mar,22,20.66666667,11-Apr,56,-40.55555556,23-May,98,7.666666667,6-Jun,112,24.33333333,34,56,-61.22222223,3.66666666
Wisconsin,8-Mar,22,17,8-Mar,22,17,12-Apr,57,-44.84210526,16-May,91,-9.5,13-Jun,119,14.61538462,35,62,-61.84210526,-2.38461538
Wyoming,Feb-29,14,16,3-Mar,17,-24.22222222,12-Apr,57,-34.625,16-Apr,61,-29.77777778,3-Jul,139,50.33333333,43,82,-50.625,34.33333333
