state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Alabama,7-Mar,21,6.784313725,27-Mar,41,-31.63235294,10-Apr,55,-44.26470588,10-Apr,55,-44.26470588,16-May,91,-12.71698113,34,36,-51.04901961,-19.50129486
Alaska,1-Mar,15,6.333333333,15-Mar,29,-0.333333333,30-Mar,44,-41,1-May,76,-28.08333333,17-May,92,-14.33333333,29,48,-47.33333333,-20.66666666
Arizona,2-Mar,16,3,15-Mar,29,-3.066666667,10-Apr,55,-42.625,4-May,79,-34.875,16-May,91,-19.8,39,36,-45.625,-22.8
Arkansas,2-Mar,16,4.208955224,10-Apr,55,-39.74285714,13-Apr,58,-36.33333333,17-Apr,62,-31.24285714,16-May,91,-9.695652174,42,33,-40.54228855,-13.9046074
California,24-Feb,9,3.842105263,15-Mar,29,-8.436363636,9-Apr,54,-48.98245614,8-May,83,-39.43859649,16-May,91,-23.85454545,45,37,-52.8245614,-27.69665071
Colorado,2-Mar,16,5.022222222,15-Mar,29,-9.485714286,10-Apr,55,-47.93478261,10-Apr,55,-47.93478261,16-May,91,-26.275,39,36,-52.95700483,-31.29722222
Connecticut,2-Mar,16,4.111111111,17-Feb,2,-28.33333333,10-Apr,55,-61,10-Apr,55,-61,17-May,92,-23,39,37,-65.11111111,-27.11111111
Delaware,Feb-29,14,5.5,10-Apr,55,-55,13-Apr,58,-51.25,26-Mar,40,-42.25,16-May,91,-23.25,44,33,-56.75,-28.75
District of Columbia,24-Feb,9,5,15-Mar,29,-17,7-Apr,52,-71,21-Mar,35,-38,13-Jun,119,-21,43,67,-76,-26
Florida,2-Mar,16,2.318181818,15-Mar,29,-4.355932203,10-Apr,55,-45.98529412,10-Apr,55,-45.98529412,16-May,91,-18.43548387,39,36,-48.30347594,-20.75366569
Georgia,22-Feb,7,2.871559633,21-Mar,35,-12.83783784,10-Apr,55,-46.46,10-Apr,55,-46.46,16-May,91,-14.34234234,48,36,-49.33155963,-17.21390197
Hawaii,2-Mar,16,2.6,15-Mar,29,-5.8,10-Apr,55,-56.4,10-Apr,55,-56.4,18-May,93,-37.2,39,38,-59,-39.8
Idaho,2-Mar,16,8.567567568,16-Mar,30,0.027027027,9-Apr,54,-41.17948718,11-Apr,56,-31.89285714,16-May,91,-15.04,38,37,-49.74705475,-23.60756757
Illinois,1-Mar,15,5.138461538,21-Mar,35,-18.08641975,10-Apr,55,-48.7628866,10-Apr,55,-48.7628866,16-May,91,-17.2278481,40,36,-53.90134814,-22.36630964
Indiana,1-Mar,15,4.407894737,3-Apr,48,-44.48387097,10-Apr,55,-53.47311828,10-Apr,55,-53.47311828,16-May,91,-16.37804878,40,36,-57.88101302,-20.78594352
Iowa,28-Feb,13,5.436170213,10-Apr,55,-40.69072165,12-Apr,57,-38.90740741,8-May,83,-28.24210526,16-May,91,-11.8,44,34,-44.34357762,-17.23617021
Kansas,1-Mar,15,5.677419355,15-Mar,29,-4.0625,10-Apr,55,-40.4,10-Apr,55,-40.4,16-May,91,-13.81081081,40,36,-46.07741936,-19.48823017
Kentucky,2-Mar,16,3.174757282,3-Apr,48,-39.27777778,10-Apr,55,-47.66972477,10-Apr,55,-47.66972477,16-May,91,-19.43283582,39,36,-50.84448205,-22.6075931
Louisiana,2-Mar,16,4.4,27-Mar,41,-36.56451613,10-Apr,55,-53.41269841,10-Apr,55,-53.41269841,16-May,91,-17.91836735,39,36,-57.81269841,-22.31836735
Maine,1-Mar,15,7.125,15-Mar,29,3.0625,10-Apr,55,-56.47058824,10-Apr,55,-56.47058824,17-May,92,-13.5625,40,37,-63.59558824,-20.6875
Maryland,Feb-29,14,3.8,3-Apr,48,-48.64,10-Apr,55,-54.88,10-Apr,55,-54.88,16-May,91,-22.84,41,36,-58.68,-26.64
Massachusetts,5-Mar,19,4.4,15-Mar,29,-7.384615385,10-Apr,55,-57.93333333,19-Apr,64,-37.69230769,17-May,92,-27.53846154,36,37,-62.33333333,-31.93846154
Michigan,Feb-29,14,5.260869565,23-Mar,37,-34.16049383,10-Apr,55,-58.0617284,10-Apr,55,-58.0617284,16-May,91,-23.09859155,41,36,-63.32259797,-28.35946112
Minnesota,23-Feb,8,2.884615385,3-Apr,48,-42.08433735,10-Apr,55,-46.08433735,10-Apr,55,-46.08433735,16-May,91,-20.35,47,36,-48.96895274,-23.23461539
Mississippi,2-Mar,16,3.85915493,13-Mar,27,-12.57142857,10-Apr,55,-46.88461538,10-Apr,55,-46.88461538,16-May,91,-14.67307692,39,36,-50.74377031,-18.53223185
Missouri,6-Mar,20,15.89690722,21-Mar,35,-11.5942029,9-Apr,54,-38.44859813,8-May,83,-22.00980392,16-May,91,-9.84057971,34,37,-54.34550535,-25.73748693
Montana,1-Mar,15,4.153846154,15-Mar,29,-5.538461538,10-Apr,55,-42.9375,10-May,85,-15.92307692,17-May,92,-14.07692308,40,37,-47.09134615,-18.23076923
Nebraska,28-Feb,13,4.085106383,10-Apr,55,-38,12-Apr,57,-41.41666667,12-Apr,57,-41.41666667,18-Apr,63,-14.92,44,6,-45.50177305,-19.00510638
Nevada,2-Mar,16,4.090909091,15-Mar,29,-2.8,10-Apr,55,-45.66666667,8-May,83,-37.75,17-May,92,-27.6,39,37,-49.75757576,-31.69090909
New Hampshire,5-Mar,19,4.181818182,15-Mar,29,-3,10-Apr,55,-49.09090909,15-May,90,-39.18181818,17-May,92,-21.81818182,36,37,-53.27272727,-26
New Jersey,22-Feb,7,4.318181818,10-Apr,55,-64.86363636,13-Apr,58,-61.63636364,15-May,90,-49.59090909,17-May,92,-26.72727273,51,34,-65.95454546,-31.04545455
New Mexico,2-Mar,16,5.148148148,15-Mar,29,-4.416666667,10-Apr,55,-48.40740741,10-Apr,55,-48.40740741,17-May,92,-20,39,37,-53.55555556,-25.14814815
New York,1-Mar,15,5.032258065,22-Mar,36,-28.06451613,10-Apr,55,-56.41935484,10-Apr,55,-56.41935484,17-May,92,-21.35483871,40,37,-61.45161291,-26.38709678
North Carolina,22-Feb,7,3.363636364,21-Mar,35,-14.88764045,10-Apr,55,-51.68686869,10-Apr,55,-51.68686869,16-May,91,-18.16666667,48,36,-55.05050505,-21.53030303
North Dakota,2-Mar,16,4.1,10-Apr,55,-45.52173913,12-Apr,57,-39.75,15-May,90,-25.95,17-May,92,-12.90909091,41,35,-43.85,-17.00909091
Ohio,1-Mar,15,4.523809524,3-Apr,48,-43.7752809,10-Apr,55,-52.50561798,10-Apr,55,-52.50561798,16-May,91,-17.34117647,40,36,-57.0294275,-21.86498599
Oklahoma,Feb-29,14,3.723404255,15-Mar,29,-3.565217391,10-Apr,55,-42.86764706,10-Apr,55,-42.86764706,16-May,91,-13.78,41,36,-46.59105132,-17.50340426
Oregon,24-Feb,9,2.970588235,15-Mar,29,-8.633333333,9-Apr,54,-42.29411765,8-May,83,-34.57575758,16-May,91,-21.96666667,45,37,-45.26470589,-24.93725491
Pennsylvania,23-Feb,8,4.158730159,22-Mar,36,-28.328125,10-Apr,55,-56.1969697,10-Apr,55,-56.1969697,16-May,91,-20.1875,47,36,-60.35569986,-24.34623016
Rhode Island,23-Feb,8,4.666666667,15-Mar,29,-5.5,9-Apr,54,-54,10-May,85,-25,17-May,92,-20.5,46,38,-58.66666667,-25.16666667
South Carolina,24-Feb,9,3.043478261,21-Mar,35,-13.48888889,10-Apr,55,-49.40425532,10-Apr,55,-49.40425532,16-May,91,-16.53333333,46,36,-52.44773358,-19.57681159
South Dakota,1-Mar,15,4.666666667,20-Mar,34,-22.26666667,12-Apr,57,-45.42857143,15-May,90,-29.9,17-May,92,-14.75,42,35,-50.0952381,-19.41666667
Tennessee,22-Feb,7,4.184210526,27-Mar,41,-33.10638298,10-Apr,55,-50.76595745,10-Apr,55,-50.76595745,16-May,91,-11.59493671,48,36,-54.95016798,-15.77914724
Texas,24-Feb,9,4.010526316,27-Mar,41,-32.15463918,10-Apr,55,-46.73869347,10-Apr,55,-46.73869347,16-May,91,-16.30065359,46,36,-50.74921979,-20.31117991
Utah,24-Feb,9,2.68,14-Mar,28,-3.470588235,10-Apr,55,-44.92,10-Apr,55,-44.92,16-May,91,-18.47058824,46,36,-47.6,-21.15058824
Vermont,8-Mar,22,4.615384615,27-Mar,41,-50.46666667,10-Apr,55,-55.4,10-Apr,55,-55.4,17-May,92,-28.23076923,33,37,-60.01538462,-32.84615385
Virginia,24-Feb,9,4.304,3-Apr,48,-38.984375,10-Apr,55,-46.42307692,10-Apr,55,-46.42307692,16-May,91,-19.06122449,46,36,-50.72707692,-23.36522449
Washington,24-Feb,9,4.611111111,16-Mar,30,-13.33333333,2-Apr,47,-49.10810811,8-May,83,-38.25,16-May,91,-25.58823529,38,44,-53.71921922,-30.1993464
West Virginia,1-Mar,15,3.724137931,3-Apr,48,-38.30612245,10-Apr,55,-46.73469388,10-Apr,55,-46.73469388,16-May,91,-16.34375,40,36,-50.45883181,-20.06788793
Wisconsin,1-Mar,15,4.551724138,3-Apr,48,-40.21126761,10-Apr,55,-48.22535211,10-Apr,55,-48.22535211,16-May,91,-15.38095238,40,36,-52.77707625,-19.93267652
