mobility_type,x_time,y_ridership_change,state,city,x_date
retail_and_recreation_percent_change_from_baseline,55605,1.0,California,Los Angeles County,15-Feb
grocery_and_pharmacy_percent_change_from_baseline,55605,0.0,California,Los Angeles County,15-Feb
parks_percent_change_from_baseline,55605,13.0,California,Los Angeles County,15-Feb
transit_stations_percent_change_from_baseline,55605,-1.0,California,Los Angeles County,15-Feb
workplaces_percent_change_from_baseline,55605,-1.0,California,Los Angeles County,15-Feb
residential_percent_change_from_baseline,55605,0.0,California,Los Angeles County,15-Feb
retail_and_recreation_percent_change_from_baseline,55606,4.0,California,Los Angeles County,16-Feb
grocery_and_pharmacy_percent_change_from_baseline,55606,-1.0,California,Los Angeles County,16-Feb
parks_percent_change_from_baseline,55606,27.0,California,Los Angeles County,16-Feb
transit_stations_percent_change_from_baseline,55606,-1.0,California,Los Angeles County,16-Feb
workplaces_percent_change_from_baseline,55606,0.0,California,Los Angeles County,16-Feb
residential_percent_change_from_baseline,55606,-1.0,California,Los Angeles County,16-Feb
retail_and_recreation_percent_change_from_baseline,55607,7.0,California,Los Angeles County,17-Feb
grocery_and_pharmacy_percent_change_from_baseline,55607,0.0,California,Los Angeles County,17-Feb
parks_percent_change_from_baseline,55607,30.0,California,Los Angeles County,17-Feb
transit_stations_percent_change_from_baseline,55607,-11.0,California,Los Angeles County,17-Feb
workplaces_percent_change_from_baseline,55607,-32.0,California,Los Angeles County,17-Feb
residential_percent_change_from_baseline,55607,7.0,California,Los Angeles County,17-Feb
retail_and_recreation_percent_change_from_baseline,55608,-1.0,California,Los Angeles County,18-Feb
grocery_and_pharmacy_percent_change_from_baseline,55608,0.0,California,Los Angeles County,18-Feb
parks_percent_change_from_baseline,55608,11.0,California,Los Angeles County,18-Feb
transit_stations_percent_change_from_baseline,55608,2.0,California,Los Angeles County,18-Feb
workplaces_percent_change_from_baseline,55608,2.0,California,Los Angeles County,18-Feb
residential_percent_change_from_baseline,55608,0.0,California,Los Angeles County,18-Feb
retail_and_recreation_percent_change_from_baseline,55609,-1.0,California,Los Angeles County,19-Feb
grocery_and_pharmacy_percent_change_from_baseline,55609,-1.0,California,Los Angeles County,19-Feb
parks_percent_change_from_baseline,55609,13.0,California,Los Angeles County,19-Feb
transit_stations_percent_change_from_baseline,55609,1.0,California,Los Angeles County,19-Feb
workplaces_percent_change_from_baseline,55609,2.0,California,Los Angeles County,19-Feb
residential_percent_change_from_baseline,55609,0.0,California,Los Angeles County,19-Feb
retail_and_recreation_percent_change_from_baseline,55610,1.0,California,Los Angeles County,20-Feb
grocery_and_pharmacy_percent_change_from_baseline,55610,0.0,California,Los Angeles County,20-Feb
parks_percent_change_from_baseline,55610,11.0,California,Los Angeles County,20-Feb
transit_stations_percent_change_from_baseline,55610,2.0,California,Los Angeles County,20-Feb
workplaces_percent_change_from_baseline,55610,2.0,California,Los Angeles County,20-Feb
residential_percent_change_from_baseline,55610,-1.0,California,Los Angeles County,20-Feb
retail_and_recreation_percent_change_from_baseline,55611,1.0,California,Los Angeles County,21-Feb
grocery_and_pharmacy_percent_change_from_baseline,55611,0.0,California,Los Angeles County,21-Feb
parks_percent_change_from_baseline,55611,7.0,California,Los Angeles County,21-Feb
transit_stations_percent_change_from_baseline,55611,0.0,California,Los Angeles County,21-Feb
workplaces_percent_change_from_baseline,55611,2.0,California,Los Angeles County,21-Feb
residential_percent_change_from_baseline,55611,0.0,California,Los Angeles County,21-Feb
retail_and_recreation_percent_change_from_baseline,55612,-1.0,California,Los Angeles County,22-Feb
grocery_and_pharmacy_percent_change_from_baseline,55612,-1.0,California,Los Angeles County,22-Feb
parks_percent_change_from_baseline,55612,-13.0,California,Los Angeles County,22-Feb
transit_stations_percent_change_from_baseline,55612,-5.0,California,Los Angeles County,22-Feb
workplaces_percent_change_from_baseline,55612,1.0,California,Los Angeles County,22-Feb
residential_percent_change_from_baseline,55612,1.0,California,Los Angeles County,22-Feb
retail_and_recreation_percent_change_from_baseline,55613,4.0,California,Los Angeles County,23-Feb
grocery_and_pharmacy_percent_change_from_baseline,55613,1.0,California,Los Angeles County,23-Feb
parks_percent_change_from_baseline,55613,13.0,California,Los Angeles County,23-Feb
transit_stations_percent_change_from_baseline,55613,0.0,California,Los Angeles County,23-Feb
workplaces_percent_change_from_baseline,55613,2.0,California,Los Angeles County,23-Feb
residential_percent_change_from_baseline,55613,0.0,California,Los Angeles County,23-Feb
retail_and_recreation_percent_change_from_baseline,55614,1.0,California,Los Angeles County,24-Feb
grocery_and_pharmacy_percent_change_from_baseline,55614,-1.0,California,Los Angeles County,24-Feb
parks_percent_change_from_baseline,55614,8.0,California,Los Angeles County,24-Feb
transit_stations_percent_change_from_baseline,55614,2.0,California,Los Angeles County,24-Feb
workplaces_percent_change_from_baseline,55614,4.0,California,Los Angeles County,24-Feb
residential_percent_change_from_baseline,55614,-1.0,California,Los Angeles County,24-Feb
retail_and_recreation_percent_change_from_baseline,55615,2.0,California,Los Angeles County,25-Feb
grocery_and_pharmacy_percent_change_from_baseline,55615,1.0,California,Los Angeles County,25-Feb
parks_percent_change_from_baseline,55615,13.0,California,Los Angeles County,25-Feb
transit_stations_percent_change_from_baseline,55615,3.0,California,Los Angeles County,25-Feb
workplaces_percent_change_from_baseline,55615,3.0,California,Los Angeles County,25-Feb
residential_percent_change_from_baseline,55615,-1.0,California,Los Angeles County,25-Feb
retail_and_recreation_percent_change_from_baseline,55616,3.0,California,Los Angeles County,26-Feb
grocery_and_pharmacy_percent_change_from_baseline,55616,2.0,California,Los Angeles County,26-Feb
parks_percent_change_from_baseline,55616,11.0,California,Los Angeles County,26-Feb
transit_stations_percent_change_from_baseline,55616,2.0,California,Los Angeles County,26-Feb
workplaces_percent_change_from_baseline,55616,3.0,California,Los Angeles County,26-Feb
residential_percent_change_from_baseline,55616,-1.0,California,Los Angeles County,26-Feb
retail_and_recreation_percent_change_from_baseline,55617,3.0,California,Los Angeles County,27-Feb
grocery_and_pharmacy_percent_change_from_baseline,55617,2.0,California,Los Angeles County,27-Feb
parks_percent_change_from_baseline,55617,14.0,California,Los Angeles County,27-Feb
transit_stations_percent_change_from_baseline,55617,3.0,California,Los Angeles County,27-Feb
workplaces_percent_change_from_baseline,55617,2.0,California,Los Angeles County,27-Feb
residential_percent_change_from_baseline,55617,-1.0,California,Los Angeles County,27-Feb
retail_and_recreation_percent_change_from_baseline,55618,4.0,California,Los Angeles County,28-Feb
grocery_and_pharmacy_percent_change_from_baseline,55618,4.0,California,Los Angeles County,28-Feb
parks_percent_change_from_baseline,55618,10.0,California,Los Angeles County,28-Feb
transit_stations_percent_change_from_baseline,55618,2.0,California,Los Angeles County,28-Feb
workplaces_percent_change_from_baseline,55618,3.0,California,Los Angeles County,28-Feb
residential_percent_change_from_baseline,55618,-1.0,California,Los Angeles County,28-Feb
retail_and_recreation_percent_change_from_baseline,55619,3.0,California,Los Angeles County,29-Feb
grocery_and_pharmacy_percent_change_from_baseline,55619,4.0,California,Los Angeles County,29-Feb
parks_percent_change_from_baseline,55619,11.0,California,Los Angeles County,29-Feb
transit_stations_percent_change_from_baseline,55619,0.0,California,Los Angeles County,29-Feb
workplaces_percent_change_from_baseline,55619,2.0,California,Los Angeles County,29-Feb
residential_percent_change_from_baseline,55619,-1.0,California,Los Angeles County,29-Feb
retail_and_recreation_percent_change_from_baseline,55620,4.0,California,Los Angeles County,01-Mar
grocery_and_pharmacy_percent_change_from_baseline,55620,3.0,California,Los Angeles County,01-Mar
parks_percent_change_from_baseline,55620,-5.0,California,Los Angeles County,01-Mar
transit_stations_percent_change_from_baseline,55620,-3.0,California,Los Angeles County,01-Mar
workplaces_percent_change_from_baseline,55620,1.0,California,Los Angeles County,01-Mar
