,state,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly_2,f(t)_poly_3,f(t)_poly_4,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Mass,Delta
32,Alabama,grocery_and_pharmacy_percent_change_from_baseline,32,0.003350011,0.003123162,0.932284167,0.067715833,0,0,0,0,0.003123162,0.003350011,-12.85393218,22.36235828,0.928539922
33,Alabama,grocery_and_pharmacy_percent_change_from_baseline,33,-0.013788851,-0.012812063,0.929161005,0.070838995,0.006800878,-0.001183921,0.006597316,0.007319375,-0.00484445,-0.00521379,-12.85393218,22.36235828,0.928539922
34,Alabama,grocery_and_pharmacy_percent_change_from_baseline,34,-0.036975875,-0.035419498,0.957908293,0.042091707,0.013092871,-0.000859724,0.011205358,0.013668189,-0.015036133,-0.01569684,-12.85393218,22.36235828,0.928539922
35,Alabama,grocery_and_pharmacy_percent_change_from_baseline,35,0.062640694,0.062640694,1,0,0.018875979,0.000792687,0.0143671,0.018875979,0.004383074,0.004383074,-12.85393218,22.36235828,0.928539922
36,Alabama,grocery_and_pharmacy_percent_change_from_baseline,36,0.116396452,0.096914817,0.832626904,0.167373096,0.024150202,0.003593405,0.016561934,0.02900483,0.022889423,0.027490611,-12.85393218,22.36235828,0.928539922
37,Alabama,grocery_and_pharmacy_percent_change_from_baseline,37,0.032697488,0.026359746,0.806170365,0.193829635,0.028915539,0.007362524,0.018205672,0.035867777,0.02346781,0.029110236,-12.85393218,22.36235828,0.928539922
38,Alabama,grocery_and_pharmacy_percent_change_from_baseline,38,0.010181971,0.007940995,0.779907411,0.220092589,0.033171991,0.01192014,0.019650545,0.042533243,0.021249693,0.027246431,-12.85393218,22.36235828,0.928539922
39,Alabama,grocery_and_pharmacy_percent_change_from_baseline,39,-0.038789512,-0.030654901,0.790288376,0.209711624,0.036919558,0.017086347,0.021185201,0.046716565,0.014761619,0.018678776,-12.85393218,22.36235828,0.928539922
40,Alabama,grocery_and_pharmacy_percent_change_from_baseline,40,-0.016981247,-0.014284918,0.841217213,0.158782787,0.04015824,0.022681238,0.023034709,0.047738253,0.011534226,0.013711353,-12.85393218,22.36235828,0.928539922
41,Alabama,grocery_and_pharmacy_percent_change_from_baseline,41,0.019720347,0.016148168,0.818858211,0.181141789,0.042888037,0.028524908,0.025360556,0.052375413,0.01199562,0.014649203,-12.85393218,22.36235828,0.928539922
42,Alabama,grocery_and_pharmacy_percent_change_from_baseline,42,0.068925828,0.055755542,0.808920877,0.191079123,0.045108949,0.034437452,0.028260645,0.055764352,0.015973795,0.019747043,-12.85393218,22.36235828,0.928539922
43,Alabama,grocery_and_pharmacy_percent_change_from_baseline,43,0.071297342,0.05043197,0.707347128,0.292652872,0.046820975,0.040238964,0.031769302,0.066192359,0.01884531,0.026642237,-12.85393218,22.36235828,0.928539922
44,Alabama,grocery_and_pharmacy_percent_change_from_baseline,44,0.009523515,0.006743191,0.708056938,0.291943062,0.048024116,0.045749538,0.03585727,0.067825218,0.017914377,0.025300758,-12.85393218,22.36235828,0.928539922
45,Alabama,grocery_and_pharmacy_percent_change_from_baseline,45,0.014142776,0.009813117,0.693860746,0.306139254,0.048718373,0.050789269,0.04043171,0.070213473,0.017335716,0.024984431,-12.85393218,22.36235828,0.928539922
46,Alabama,grocery_and_pharmacy_percent_change_from_baseline,46,0.075318531,0.051851589,0.688430703,0.311569297,0.048903743,0.05517825,0.045336202,0.071036552,0.019636774,0.028523966,-12.85393218,22.36235828,0.928539922
47,Alabama,grocery_and_pharmacy_percent_change_from_baseline,47,0.135579526,0.080013284,0.590157568,0.409842432,0.048580229,0.058736577,0.050350745,0.082317387,0.023410306,0.039667891,-12.85393218,22.36235828,0.928539922
48,Alabama,grocery_and_pharmacy_percent_change_from_baseline,48,0.117875288,0.06228579,0.528404136,0.471595864,0.04774783,0.061284344,0.055191758,0.090362332,0.025697099,0.048631525,-12.85393218,22.36235828,0.928539922
49,Alabama,grocery_and_pharmacy_percent_change_from_baseline,49,0.161547954,0.075214464,0.465585989,0.534414011,0.046406545,0.062641644,0.059512076,0.099673414,0.028448064,0.061101632,-12.85393218,22.36235828,0.928539922
50,Alabama,grocery_and_pharmacy_percent_change_from_baseline,50,0.221809918,0.08383865,0.377975208,0.622024792,0.044556375,0.062628572,0.062900956,0.11788174,0.031363358,0.082977288,-12.85393218,22.36235828,0.928539922
51,Alabama,grocery_and_pharmacy_percent_change_from_baseline,51,0.263639268,0.078540429,0.297908689,0.702091311,0.04219732,0.061065223,0.064884071,0.141645148,0.033722211,0.113196468,-12.85393218,22.36235828,0.928539922
52,Alabama,grocery_and_pharmacy_percent_change_from_baseline,52,0.327807007,0.072410716,0.220894351,0.779105649,0.03932938,0.057771691,0.064923514,0.178046112,0.037186589,0.168345587,-12.85393218,22.36235828,0.928539922
53,Alabama,grocery_and_pharmacy_percent_change_from_baseline,53,0.284755561,0.043592448,0.153087257,0.846912743,0.035952555,0.052568071,0.062417796,0.234850083,0.040006815,0.261333409,-12.85393218,22.36235828,0.928539922
54,Alabama,grocery_and_pharmacy_percent_change_from_baseline,54,7.24E-05,9.68E-06,0.133709456,0.866290544,0.032066845,0.045274456,0.056701849,0.239824808,0.041778273,0.31245564,-12.85393218,22.36235828,0.928539922
55,Alabama,grocery_and_pharmacy_percent_change_from_baseline,55,0.235170305,0.035997024,0.153067898,0.846932102,0.027672249,0.035710941,0.04704702,0.180784144,0.04044609,0.264236266,-12.85393218,22.36235828,0.928539922
56,Alabama,grocery_and_pharmacy_percent_change_from_baseline,56,1.240110906,0.076533949,0.061715407,0.938284593,0.022768768,0.02369762,0.032661079,0.36893167,0.039427047,0.638852574,-12.85393218,22.36235828,0.928539922
57,Alabama,grocery_and_pharmacy_percent_change_from_baseline,57,inf,0.010699112,0,1,0.017356402,0.009054588,0.012688211,inf,0.038644015,inf,-12.85393218,22.36235828,0.928539922
58,Alabama,grocery_and_pharmacy_percent_change_from_baseline,58,-0.886223591,-0.035730039,0.040317183,0.959682817,0.011435151,-0.008398061,-0.013790979,0.283629708,0.036460463,0.904340531,-12.85393218,22.36235828,0.928539922
59,Alabama,grocery_and_pharmacy_percent_change_from_baseline,59,-0.435808294,-0.031142895,0.071460078,0.928539922,0.005005015,-0.028840232,-0.047759465,0.070039311,0.036436063,0.509879982,-12.85393218,22.36235828,0.928539922
520,Alaska,grocery_and_pharmacy_percent_change_from_baseline,20,-0.005802708,-0.005649717,0.973634652,0.026365348,0,0,0,0,-0.005649717,-0.005802708,-16.28571429,37.92857143,0.781544256
521,Alaska,grocery_and_pharmacy_percent_change_from_baseline,21,0.000961539,0.00094162,0.979284369,0.020715631,0.000588804,0.001077694,0.002126847,0.00060126,-0.002354049,-0.002403846,-16.28571429,37.92857143,0.781544256
522,Alaska,grocery_and_pharmacy_percent_change_from_baseline,22,0.010658915,0.010357815,0.971751412,0.028248588,0.00116391,0.002109864,0.004085625,0.001197745,0.001883239,0.001937985,-16.28571429,37.92857143,0.781544256
523,Alaska,grocery_and_pharmacy_percent_change_from_baseline,23,0.02848723,0.027306968,0.958568738,0.041431262,0.001725317,0.003097217,0.005883384,0.001799889,0.008239171,0.008595285,-16.28571429,37.92857143,0.781544256
524,Alaska,grocery_and_pharmacy_percent_change_from_baseline,24,0.027720739,0.025423729,0.917137476,0.082862524,0.002273026,0.00404046,0.007527038,0.002478392,0.011676083,0.012731006,-16.28571429,37.92857143,0.781544256
525,Alaska,grocery_and_pharmacy_percent_change_from_baseline,25,0.004149378,0.003766478,0.907721281,0.092278719,0.002807036,0.004940301,0.009023367,0.003092398,0.010357815,0.011410788,-16.28571429,37.92857143,0.781544256
526,Alaska,grocery_and_pharmacy_percent_change_from_baseline,26,-0.013457557,-0.012241055,0.90960452,0.09039548,0.003327347,0.005797447,0.010379017,0.003658015,0.007129405,0.007837918,-16.28571429,37.92857143,0.781544256
527,Alaska,grocery_and_pharmacy_percent_change_from_baseline,27,-0.007070707,-0.006591337,0.93220339,0.06779661,0.00383396,0.006612604,0.011600497,0.004112793,0.005414313,0.005808081,-16.28571429,37.92857143,0.781544256
528,Alaska,grocery_and_pharmacy_percent_change_from_baseline,28,0.012244898,0.011299435,0.922787194,0.077212806,0.004326874,0.007386482,0.012694183,0.004688918,0.006068215,0.006575964,-16.28571429,37.92857143,0.781544256
529,Alaska,grocery_and_pharmacy_percent_change_from_baseline,29,0.024844721,0.02259887,0.90960452,0.09039548,0.004806089,0.008119786,0.013666314,0.005283713,0.007721281,0.008488613,-16.28571429,37.92857143,0.781544256
530,Alaska,grocery_and_pharmacy_percent_change_from_baseline,30,-0.018240343,-0.016007533,0.877589454,0.122410546,0.005271606,0.008813224,0.014522997,0.006006916,0.005564116,0.006340226,-16.28571429,37.92857143,0.781544256
531,Alaska,grocery_and_pharmacy_percent_change_from_baseline,31,-0.036,-0.033898305,0.941619586,0.058380414,0.005723424,0.009467503,0.015270201,0.006078276,0.002275581,0.002416667,-16.28571429,37.92857143,0.781544256
532,Alaska,grocery_and_pharmacy_percent_change_from_baseline,32,0.002988048,0.002824859,0.945386064,0.054613936,0.006161544,0.01008333,0.015913763,0.006517489,0.002317833,0.002451732,-16.28571429,37.92857143,0.781544256
533,Alaska,grocery_and_pharmacy_percent_change_from_baseline,33,0.020120724,0.018832392,0.935969868,0.064030132,0.006585965,0.010661414,0.016459382,0.007036514,0.003497444,0.003736706,-16.28571429,37.92857143,0.781544256
534,Alaska,grocery_and_pharmacy_percent_change_from_baseline,34,0.023858921,0.021657251,0.907721281,0.092278719,0.006996687,0.011202461,0.016912625,0.007707968,0.004708098,0.005186722,-16.28571429,37.92857143,0.781544256
535,Alaska,grocery_and_pharmacy_percent_change_from_baseline,35,0.008438819,0.007532957,0.892655367,0.107344633,0.007393711,0.011707178,0.017278921,0.008282828,0.004884652,0.005472046,-16.28571429,37.92857143,0.781544256
536,Alaska,grocery_and_pharmacy_percent_change_from_baseline,36,-0.006329114,-0.005649718,0.892655367,0.107344633,0.007777036,0.012176272,0.017563568,0.008712249,0.004264983,0.004777861,-16.28571429,37.92857143,0.781544256
