,State,Mobility Type,t,Observed h(t),Fitted h(t)
0,Alabama,grocery_and_pharmacy_percent_change_from_baseline,0,0.0,0.0
1,Alabama,grocery_and_pharmacy_percent_change_from_baseline,1,0.005685837,0.0038482349393472227
2,Alabama,grocery_and_pharmacy_percent_change_from_baseline,2,0.011095622,0.00769646968297971
3,Alabama,grocery_and_pharmacy_percent_change_from_baseline,3,0.016211854,0.011544699120366911
4,Alabama,grocery_and_pharmacy_percent_change_from_baseline,4,0.02048473,0.015392877707852746
5,Alabama,grocery_and_pharmacy_percent_change_from_baseline,5,0.023554671,0.01924077929030983
6,Alabama,grocery_and_pharmacy_percent_change_from_baseline,6,0.027260598,0.023087614115262105
7,Alabama,grocery_and_pharmacy_percent_change_from_baseline,7,0.030335124,0.02693119139324751
8,Alabama,grocery_and_pharmacy_percent_change_from_baseline,8,0.035189816,0.03076633672940951
9,Alabama,grocery_and_pharmacy_percent_change_from_baseline,9,0.037240355,0.034582194561418124
10,Alabama,grocery_and_pharmacy_percent_change_from_baseline,10,0.039201306,0.038357979175952996
11,Alabama,grocery_and_pharmacy_percent_change_from_baseline,11,0.040409747,0.04205671412925309
12,Alabama,grocery_and_pharmacy_percent_change_from_baseline,12,0.044173848,0.04561658352924183
13,Alabama,grocery_and_pharmacy_percent_change_from_baseline,13,0.046485401,0.04893983324802656
14,Alabama,grocery_and_pharmacy_percent_change_from_baseline,14,0.048469502,0.05187991485131873
15,Alabama,grocery_and_pharmacy_percent_change_from_baseline,15,0.051227481,0.05422905937715923
16,Alabama,grocery_and_pharmacy_percent_change_from_baseline,16,0.053324845,0.05571101468762293
17,Alabama,grocery_and_pharmacy_percent_change_from_baseline,17,0.054807256,0.05598732624742368
18,Alabama,grocery_and_pharmacy_percent_change_from_baseline,18,0.055055506,0.05468942726974044
19,Alabama,grocery_and_pharmacy_percent_change_from_baseline,19,0.051041091,0.05149011376211571
20,Alabama,grocery_and_pharmacy_percent_change_from_baseline,20,0.043695897,0.046221034827287275
21,Alabama,grocery_and_pharmacy_percent_change_from_baseline,21,0.041404515,0.03902029725249133
